"Partei: Nr.","Partei: Kurzbezeichnung","Partei: Name","These: Nr.","These: Titel","These: These","Position: Position","Position: Begründung"
24,"du.","Die Urbane. Eine HipHop Partei",8,"Gesetzliche Rentenversicherung","Alle Erwerbstätigen sollen in der gesetzlichen Rentenversicherung versichert sein müssen.","stimme zu","Ja, es soll eine gesetzliche Rentenversicherung für ausnahmslos alle geben, solange es nicht das Bedingungslose Grundeinkommen gibt. Auch ein extra Fonds für Menschen, die aus verschiedenen Gründen aus den Systemen herausfallen oder gar nicht erst reinkommen, muss eingerichtet und unbürokratisch verwaltet werden. Je höher das Einkommen, desto höher die Beiträge, ohne Deckelung. "
25,"SGP","Sozialistische Gleichheitspartei, Vierte Internationale",8,"Gesetzliche Rentenversicherung","Alle Erwerbstätigen sollen in der gesetzlichen Rentenversicherung versichert sein müssen.","stimme zu","Der gesellschaftliche Fortschritt ermöglicht eine Verkürzung der Lebensarbeitszeit bei gleichzeitiger Erhöhung der Löhne und Renten. Im Kapitalismus werden erst massenhaft sozialversicherungspflichtiger Arbeitsplätze vernichtet und dann die knappen Sozialkassen für Rentenkürzungen herangezogen. Stattdessen muss die Wirtschaft sozialistisch, nach den Bedürfnissen der Menschen strukturiert werden."
26,"dieBasis","Basisdemokratische Partei Deutschland",8,"Gesetzliche Rentenversicherung","Alle Erwerbstätigen sollen in der gesetzlichen Rentenversicherung versichert sein müssen.","stimme zu","dieBasis steht für Gleichberechtigung im rechtlich-sozialen Bereich. Die Privatisierung des Rentensystems war eine Fehlentwicklung. Durch ein umlagefinanziertes Rentensystem, an dem alle beteiligt sind, kann sichergestellt werden, dass der Wohlstand einer Gesellschaft den Menschen und nicht den Versicherungen zukommt. [Mitgliederbefragung: Ja 69 %, Nein 18 %, Neutral 13 %]"
27,"Bündnis C","Bündnis C - Christen für Deutschland",8,"Gesetzliche Rentenversicherung","Alle Erwerbstätigen sollen in der gesetzlichen Rentenversicherung versichert sein müssen.","stimme nicht zu","Die gesetzliche Rentenversicherung und der Generationenvertrag sind aufgrund zu weniger Kinder dysfunktional und müssen grundlegend reformiert werden. Bündnis C sieht zuerst die Familie in der Verantwortung und einen privaten Generationenvertrag. Bündnis C deckt mit einem bedingten Grundeinkommen auch die Grundsicherung im Alter ab."
28,"BÜRGERBEWEGUNG","Bürgerbewegung für Fortschritt und Wandel",8,"Gesetzliche Rentenversicherung","Alle Erwerbstätigen sollen in der gesetzlichen Rentenversicherung versichert sein müssen.","stimme zu","Erforderlich zur Finanzierung des Rentensystems."
29,"III. Weg","DER DRITTE WEG",8,"Gesetzliche Rentenversicherung","Alle Erwerbstätigen sollen in der gesetzlichen Rentenversicherung versichert sein müssen.","stimme zu","Eine Versicherung darf nicht unternehmerisch mit dem Ziel der Profitmaximierung arbeiten. Ihre Aufgabe ist lediglich die soziale Absicherung des Volkes. Deshalb müssen sämtliche gesetzlichen und privaten Sozialversicherungen zu einer zentralen staatlichen Vorsorgeversicherung zusammengeführt werden. Jeder muss hierbei selbst entscheiden können, in welche Versicherungsstufe er sich einordnet. Die Altersversorgung garantiert ab dem 60. Lebensjahr eine lebenswürdige Mindestversorgung."
30,"BÜNDNIS21","diePinken/BÜNDNIS21",8,"Gesetzliche Rentenversicherung","Alle Erwerbstätigen sollen in der gesetzlichen Rentenversicherung versichert sein müssen.","stimme zu","Wir wollen, dass das Pensions- und Rentensystem unter Erhalt der Anwartschaften ausläuft und durch das bedingungslose Grundeinkommen für alle ersetzt wird. Zusätzliche Vorsorgeangebote kann es für jeden geben."
31,"LIEBE","Europäische Partei LIEBE",8,"Gesetzliche Rentenversicherung","Alle Erwerbstätigen sollen in der gesetzlichen Rentenversicherung versichert sein müssen.","stimme zu",
32,"LKR","Liberal-Konservative Reformer",8,"Gesetzliche Rentenversicherung","Alle Erwerbstätigen sollen in der gesetzlichen Rentenversicherung versichert sein müssen.","stimme nicht zu","Wir halten die umlagenfinanzierte gesetzliche Rentenversicherung in ihrer jetzigen Form für überholt und nicht zukunftsfähig. Die Forderung nach Ausweitung auf alle Erwerbstätigen - also auch Selbstständige, Beamte - ist nicht durchdacht. Tatsächlich ändert sie nicht das Geringste an der Problematik einer kopfstehenden Alterspyramide, die das Umlagensystem ad absurdum führt. "
33,"PdF","Partei des Fortschritts",8,"Gesetzliche Rentenversicherung","Alle Erwerbstätigen sollen in der gesetzlichen Rentenversicherung versichert sein müssen.","stimme zu","Vor dem Hintergrund, dass das Rentensystem durch staatliche Finanzierung ausgeglichen werden muss, steht die Partei des Fortschritts dafür ein, dass alle Erwerbstätigen in der gesetzlichen Rentenversicherung versichert sein sollten. Durch Hinzunahme von allen Berufsgruppen entsteht ein größerer Rentenpool, der als sichere Basis für ein reformiertes Rentensystem dienen kann."
34,"LfK",">> Partei für Kinder, Jugendliche und Familien ",8,"Gesetzliche Rentenversicherung","Alle Erwerbstätigen sollen in der gesetzlichen Rentenversicherung versichert sein müssen.","stimme zu","Ja, und zwar mit voller Berücksichtigung der Kinderzahl. Familien mit 2 oder mehr Kindern zahlen 100%, Familien mit einem Kind 150% und Kinderlose 200% des Betrages. Denn die Kinderlosen werden Ihre Rente von den Kindern der anderen erhalten, was sozial ungerecht ist. Daher müssen die Anteile über 100% für die Zukunft zurück gelegt werden, um unsere Kinder nicht mit den Rentenzahlungen in der Zukunft zu überlasten."
35,"SSW","Südschleswigscher Wählerverband",8,"Gesetzliche Rentenversicherung","Alle Erwerbstätigen sollen in der gesetzlichen Rentenversicherung versichert sein müssen.","stimme zu","Der SSW will ein solidarisches, umlagenfinanziertes Versicherungssystem in Form einer Erwerbstätigenversicherung, welches alle Erwerbstätigen und Einkommensarten mit einbezieht. So werden die Lasten nicht nur auf alle Schultern verteilt - die breitesten Schultern tragen auch den größeren Anteil."
36,"Team Todenhöfer","Team Todenhöfer – Die Gerechtigkeitspartei",8,"Gesetzliche Rentenversicherung","Alle Erwerbstätigen sollen in der gesetzlichen Rentenversicherung versichert sein müssen.","stimme zu","Wir halten das für eine sinnvolle Idee, um das Rentensystem ein Stück weit sicherer zu machen. Ausnahme sollten Minijobs sein."
37,"UNABHÄNGIGE","UNABHÄNGIGE für bürgernahe Demokratie",8,"Gesetzliche Rentenversicherung","Alle Erwerbstätigen sollen in der gesetzlichen Rentenversicherung versichert sein müssen.","stimme zu","Das gilt auch für alle Selbständigen. Bereits vorhandene Ansprüche sind dabei aber wie bisher zu garantieren. "
38,"Volt","Volt Deutschland",8,"Gesetzliche Rentenversicherung","Alle Erwerbstätigen sollen in der gesetzlichen Rentenversicherung versichert sein müssen.","stimme zu","Wir wollen die Eingliederung aller Berufsgruppen in das gesetzliche RV-System erreichen. Dabei wollen wir Teilzeitarbeitsmodelle für Rentner*innen ermöglichen, um bestehende Probleme mit der Rentenfinanzierung abzumildern. Volt tritt für ein garantiertes Mindesteinkommen aus Arbeit ein, das über der absoluten Armutsgrenze liegt, sowie für geeignete Maßnahmen in den Renten- und Pensionssystemen, um Altersarmut zu bekämpfen. Versorgungswerke sehen wir als Teil der 1. Säule der RV."
1,"CDU / CSU","Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.",9,"Abschaffung des Familiennachzugs","Das Recht anerkannter Flüchtlinge auf Familiennachzug soll abgeschafft werden.","stimme nicht zu","Wir wollen, dass die Zahl der Flüchtlinge, die zu uns kommen, dauerhaft niedrig bleibt. Grundsätzlich gilt, dass anerkannte Flüchtlinge einen Anspruch auf den Nachzug ihrer Kernfamilie haben. Eine Ausweitung des Familiennachzugs über die heute bestehenden Regelungen hinaus lehnen wir ab."
2,"SPD","Sozialdemokratische Partei Deutschlands",9,"Abschaffung des Familiennachzugs","Das Recht anerkannter Flüchtlinge auf Familiennachzug soll abgeschafft werden.","stimme nicht zu","Wer vor Verfolgung, Tod und Terror zu uns geflohen ist und als schutzberechtigt anerkannt ist, soll auch seine Familie in Sicherheit bringen dürfen. Das gebietet die Menschlichkeit und das internationale Flüchtlingsrecht gleichermaßen. Die Regelungen für den Familiennachzug von subsidiär Schutzberechtigten wollen wir daher auch wieder an die für Flüchtlinge angleichen. Dabei werden wir auch Regelungen für den Geschwisternachzug zu unbegleiteten minderjährigen Flüchtlingen schaffen."
3,"AfD","Alternative für Deutschland",9,"Abschaffung des Familiennachzugs","Das Recht anerkannter Flüchtlinge auf Familiennachzug soll abgeschafft werden.","stimme zu","Familiennachzug für Flüchtlinge erhöht die unqualifizierte Zuwanderung nach Deutschland um ein Vielfaches und endet fast immer dauerhaft im sozialen Netz. Wir lehnen dies ab. Die Familieneinheit kann in Drittländern hergestellt werden."
4,"FDP","Freie Demokratische Partei",9,"Abschaffung des Familiennachzugs","Das Recht anerkannter Flüchtlinge auf Familiennachzug soll abgeschafft werden.","neutral","Der Familiennachzug muss perspektivisch für alle Migrantengruppen nach den gleichen Kriterien geregelt werden. Von individuellen Härtefällen abgesehen, muss derjenige, der seine Kernfamilie nachholen möchte, den Nachweis erbringen, dass er seine Angehörigen selbst versorgen kann."
5,"DIE LINKE","DIE LINKE",9,"Abschaffung des Familiennachzugs","Das Recht anerkannter Flüchtlinge auf Familiennachzug soll abgeschafft werden.","stimme nicht zu","Familiennachzug ist ein Recht. Das muss uneingeschränkt gelten. Bei unbegleiteten minderjährigen Geflüchteten muss es ein Recht auf Nachzug der Geschwisterkinder geben."
6,"GRÜNE","BÜNDNIS 90/DIE GRÜNEN",9,"Abschaffung des Familiennachzugs","Das Recht anerkannter Flüchtlinge auf Familiennachzug soll abgeschafft werden.","stimme nicht zu","Wir wollen die Einschränkungen beim Familiennachzug wieder aufheben. Familien gehören zusammen und das Kindeswohl hat oberste Priorität. Auch Menschen mit subsidiärem Schutzstatus müssen deshalb ihre Angehörigen ohne die bisherigen Einschränkungen nachholen. Wir wollen den Geschwisternachzug wieder ermöglichen. An deutschen und europäischen Botschaften braucht es mehr Personal und die Möglichkeit, digital Anträge zu stellen, um die Wartezeiten für Visa von Familienangehörigen zu verkürzen."
7,"FREIE WÄHLER","FREIE WÄHLER",9,"Abschaffung des Familiennachzugs","Das Recht anerkannter Flüchtlinge auf Familiennachzug soll abgeschafft werden.","stimme nicht zu","Eine massive Ausweitung des Familiennachzugs für Zugewanderte mit subsidiärem - also: eingeschränktem - Schutzstatus wäre jedoch das falsche Signal. Das würde weitere Menschen dazu animieren, sich von Schleusern nach Deutschland bringen zu lassen, da sie die Aussicht haben, anschließend ihre Familien nachholen zu dürfen, obwohl sie nicht unter das Asylrecht fallen."
8,"Die PARTEI","Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative",9,"Abschaffung des Familiennachzugs","Das Recht anerkannter Flüchtlinge auf Familiennachzug soll abgeschafft werden.","stimme nicht zu","Aber grundsätzlich sollten sie lieber ihre Kumpels nachziehen. Wer Verwandtschaft hat, weiß, wovon wir reden."
9,"Tierschutzpartei","PARTEI MENSCH UMWELT TIERSCHUTZ",9,"Abschaffung des Familiennachzugs","Das Recht anerkannter Flüchtlinge auf Familiennachzug soll abgeschafft werden.","stimme nicht zu","Geflüchteten muss die Möglichkeit gegeben werden, ihre Familie ebenfalls nachzuholen, denn niemand will sich allein ein neues Leben aufbauen, und die Flucht aus Elend und Krieg muss für die Familie möglichst risikofrei ermöglicht werden. Der Familiennachzug ist hier eine Frage der Humanität und Deutschland soll seinem Anteil an Verantwortung für die Ungerechtigkeiten und Kriege gerecht werden. Auch für die erfolgreiche Integration ist es wichtig, dass Familien nicht auseinandergerissen werden."
10,"NPD","Nationaldemokratische Partei Deutschlands",9,"Abschaffung des Familiennachzugs","Das Recht anerkannter Flüchtlinge auf Familiennachzug soll abgeschafft werden.","stimme zu","Junge, kräftige Männer als ""Flüchtlinge"" nach Deutschland zu entsenden, um später die Familie und gesamte Sippe nachzuholen, ist eine Masche der Asyl- und Migrationsindustrie wie auch der Schleppermafia, um stetig weiteren Zuzug von Migranten nach Deutschland zu generieren und daran zu verdienen. Dem kann nur begegnet werden, wenn die Zuwanderungsrouten dicht gemacht und der Familiennachzug gestoppt wird. "
11,"PIRATEN","Piratenpartei Deutschland",9,"Abschaffung des Familiennachzugs","Das Recht anerkannter Flüchtlinge auf Familiennachzug soll abgeschafft werden.","stimme nicht zu","Die Familie steht laut Grundgesetz unter besonderem Schutz. Dennoch ist es für Ehegatten, die aus Nicht-EU-Ländern stammen, Pflicht, noch vor der Einreise nach Deutschland einen Sprachkurs Deutsch zu belegen und erfolgreich abzuschließen. Wir PIRATEN sehen hierin vor allem eine Abschottungsmaßnahme gegenüber Ehegatten die finanziell nicht gut ausgestattet sind, da Deutschkurse im Ausland oft teuer und mitunter mit hohem Aufwand verbunden sind. "
12,"ÖDP","Ökologisch-Demokratische Partei",9,"Abschaffung des Familiennachzugs","Das Recht anerkannter Flüchtlinge auf Familiennachzug soll abgeschafft werden.","stimme nicht zu","Als Familienpartei sind wir daran interessiert, Familien nicht zu zerreißen. Geflüchtete müssen in allen europäischen Staaten nach Menschenrechts-Standards aufgenommen und behandelt werden. An die Stelle der Drittstaatenregelung soll eine Verteilung der Geflüchteten auf die EU-Mitgliedsländer treten, die auch die Interessen der Betroffenen berücksichtigt, z.B. die Zusammenführung von Familien. Das Familienleben sorgt auch für emotionalen Halt, gerade minderjähriger Flüchtlinge."
13,"V-Partei³","V-Partei³ - Partei für Veränderung, Vegetarier und Veganer",9,"Abschaffung des Familiennachzugs","Das Recht anerkannter Flüchtlinge auf Familiennachzug soll abgeschafft werden.","stimme nicht zu","Die V-Partei³fordert im Asylverfahren eine Berücksichtigung individueller Familienzusammenführungen. Der Familiennachzug der Kernfamilie von gut integrierten Geflüchteten soll möglich sein. "
14,"DiB","DEMOKRATIE IN BEWEGUNG",9,"Abschaffung des Familiennachzugs","Das Recht anerkannter Flüchtlinge auf Familiennachzug soll abgeschafft werden.","stimme nicht zu","Familie ist ein Menschenrecht. Dieses Menschen, die ein Bleiberecht in Deutschland haben, zu verweigern, wäre unmenschlich. "
15,"BP","Bayernpartei",9,"Abschaffung des Familiennachzugs","Das Recht anerkannter Flüchtlinge auf Familiennachzug soll abgeschafft werden.","stimme zu","Dennoch muss im Einzelfall geprüft werden."
16,"Tierschutzallianz","Allianz für Menschenrechte, Tier- und Naturschutz",9,"Abschaffung des Familiennachzugs","Das Recht anerkannter Flüchtlinge auf Familiennachzug soll abgeschafft werden.","stimme nicht zu",
17,"MLPD","Marxistisch-Leninistische Partei Deutschlands",9,"Abschaffung des Familiennachzugs","Das Recht anerkannter Flüchtlinge auf Familiennachzug soll abgeschafft werden.","stimme nicht zu","Typisch AfD, sich als Familienpartei aufzuspielen, aber den Familien von Geflüchteten dauerhafte Trennung aufzwingen zu wollen! Familiennachzug soll keinesfalls abgeschafft, sondern im Gegenteil stärker unterstützt werden. Kein Mensch verlässt freiwillig das Land, in dem er gelebt, gearbeitet und seine Familie hat. Gerade diese oft traumatisierten Flüchtlinge brauchen ihre Familie!"
18,"Gesundheitsforschung","Partei für Gesundheitsforschung",9,"Abschaffung des Familiennachzugs","Das Recht anerkannter Flüchtlinge auf Familiennachzug soll abgeschafft werden.","neutral","Die Partei für Gesundheitsforschung ist eine Ein-Themen-Partei, die als einziges Ziel hat, die Entwicklung wirksamer Medizin gegen Alterskrankheiten wie Krebs und Alzheimer zu beschleunigen. Sie setzt sich dafür ein, dass mehr staatliche Forschungsinstitute gebaut und betrieben werden und die entsprechenden Fachbereiche an den Universitäten ausgebaut werden. Ihr Ziel will sie in Zusammenarbeit mit anderen Parteien erreichen. In alle anderen politischen Themen will sie sich nicht einmischen."
19,"MENSCHLICHE WELT","Menschliche Welt - für das Wohl und Glücklichsein aller",9,"Abschaffung des Familiennachzugs","Das Recht anerkannter Flüchtlinge auf Familiennachzug soll abgeschafft werden.","stimme nicht zu","Von der eigenen Familie getrennt zu sein, schafft für viele großen Kummer. Für die eigene Familie sorgen zu müssen, kann hingegen eine große Motivation zur Integration sein.Die MENSCHLICHE WELT setzt für die Bekämpfung von Fluchtursachen ein. Die wesentlichen Mittel hierfür sind eine effektive Friedenspolitik, eine gerechte globale Wirtschaftspolitik und umfassende Entwicklungszusammenarbeit, die wirtschaftliche Unabhängigkeit und Eigenständigkeit der entsprechenden Länder zum Ziel hat."
20,"DKP","Deutsche Kommunistische Partei",9,"Abschaffung des Familiennachzugs","Das Recht anerkannter Flüchtlinge auf Familiennachzug soll abgeschafft werden.","stimme nicht zu","Alle Geflüchteten, die in unserem Land aufgenommen werden, sollen die Möglichkeit haben ihre Familien nachzuholen, wenn sie es wünschen. Die DKP ist der Meinung, dass - solange Menschen aus ihren Ländern fliehen müssen, weil ihnen die Lebensgrundlage durch Kriege und Profitgier des deutschen und internationalen Monopolkapitals entzogen wird - sie auch das Recht darauf haben, hier in einem der Verursacherländer ein würdiges Leben mit ihren Familien führen zu können."
21,"Die Grauen","Die Grauen – Für alle Generationen",9,"Abschaffung des Familiennachzugs","Das Recht anerkannter Flüchtlinge auf Familiennachzug soll abgeschafft werden.","stimme nicht zu",
22,"BüSo","Bürgerrechtsbewegung Solidarität",9,"Abschaffung des Familiennachzugs","Das Recht anerkannter Flüchtlinge auf Familiennachzug soll abgeschafft werden.","stimme nicht zu","Das wäre absolut inhuman.  Und: wer zerstörerische Regimewechselkriege anzettelt oder billigt, muß auch für die Folgen aufkommen."
23,"Die Humanisten","Partei der Humanisten",9,"Abschaffung des Familiennachzugs","Das Recht anerkannter Flüchtlinge auf Familiennachzug soll abgeschafft werden.","stimme nicht zu","Aus humanistischer Perspektive ist das Recht auf Familiennachzug essenziell, um Familien zu schützen und Integration zu ermöglichen. Langfristig streben wir ein System an, in welchem Asyl schon in international abgesicherten Schutzzonen beantragt werden kann. Dies ermöglicht, bereits bei der Antragstellung festzuhalten, welche Personen zur Familie gehören. Dadurch wird die Planbarkeit wesentlich erhöht und Familien werden nicht brutal auseinandergerissen."
24,"du.","Die Urbane. Eine HipHop Partei",9,"Abschaffung des Familiennachzugs","Das Recht anerkannter Flüchtlinge auf Familiennachzug soll abgeschafft werden.","stimme nicht zu","Familiennachzug muss umfassend, schnell und unbürokratisch gewährleistet werden. Die aktuellen bürokratischen Anforderungen sind effektive Vereitelungen und vorgeschobene Gründe, um die bereits viel zu geringen Zahlen von Zusammenführungen zu verhindern. Die aktuell zugelassene Menge von 1000 Personen pro Monat wird weit unterschritten. "
25,"SGP","Sozialistische Gleichheitspartei, Vierte Internationale",9,"Abschaffung des Familiennachzugs","Das Recht anerkannter Flüchtlinge auf Familiennachzug soll abgeschafft werden.","stimme nicht zu","Jeder Mensch hat das Recht, seinen Wohnort frei zu wählen. Jeder hier lebende Arbeiter muss die gleichen Rechte haben. Die widerwärtige Kampagne gegen Flüchtlinge dient dazu, die Rechte aller Arbeiter anzugreifen und die Arbeiterklasse zu spalten. Löhne, Lebensbedingungen und demokratische Rechte können nur durch einen gemeinsamen Kampf verteidigt werden. Deshalb stehen wir für ein internationales und sozialistisches Programm."
26,"dieBasis","Basisdemokratische Partei Deutschland",9,"Abschaffung des Familiennachzugs","Das Recht anerkannter Flüchtlinge auf Familiennachzug soll abgeschafft werden.","neutral","Der Schwerpunkt deutscher Außenpolitik muss auf der Reduktion von Fluchtursachen liegen. Hierzu zählen konsequente Friedenspolitik und eine Entwicklungshilfe, die tatsächlich das Wohl der Menschen in den Herkunftsländern im Blick hat und nicht das von westlichen Konzernen. [Mitgliederbefragung: Ja 40 %, Nein 35 %, Neutral 25 %]"
27,"Bündnis C","Bündnis C - Christen für Deutschland",9,"Abschaffung des Familiennachzugs","Das Recht anerkannter Flüchtlinge auf Familiennachzug soll abgeschafft werden.","stimme nicht zu","Der Kernfamilie soll wie bisher Nachzug möglich sein."
28,"BÜRGERBEWEGUNG","Bürgerbewegung für Fortschritt und Wandel",9,"Abschaffung des Familiennachzugs","Das Recht anerkannter Flüchtlinge auf Familiennachzug soll abgeschafft werden.","stimme nicht zu","Zum Schutz der Familie geboten."
29,"III. Weg","DER DRITTE WEG",9,"Abschaffung des Familiennachzugs","Das Recht anerkannter Flüchtlinge auf Familiennachzug soll abgeschafft werden.","stimme zu","Gerade die Asylflut hat uns in den letzten Jahren eine nie da gewesene Massenüberfremdung beschert. Beim weitaus größten Teil handelt es sich hierbei nicht um Asylberechtigte nach dem Art. 16a Grundgesetz, sondern vielfach um Asylbetrüger oder so genannte Flüchtlinge, die aufgrund des finanziellen Anreizes sich im Wohlfühlstaat BRD niederlassen wollen. Die Asylgesetzgebung muss konsequent verschärft und angewendet werden, um dieser Situation Herr zu werden."
30,"BÜNDNIS21","diePinken/BÜNDNIS21",9,"Abschaffung des Familiennachzugs","Das Recht anerkannter Flüchtlinge auf Familiennachzug soll abgeschafft werden.","stimme nicht zu","Artikel 6 des Grundgesetzes stellt Familie unter besonderen Schutz. Für uns heißt das, wenn eine Anerkennung als Flüchtling erfolgt ist, gehört Familienzusammenführung zu den Grundrechten."
31,"LIEBE","Europäische Partei LIEBE",9,"Abschaffung des Familiennachzugs","Das Recht anerkannter Flüchtlinge auf Familiennachzug soll abgeschafft werden.","stimme nicht zu",
32,"LKR","Liberal-Konservative Reformer",9,"Abschaffung des Familiennachzugs","Das Recht anerkannter Flüchtlinge auf Familiennachzug soll abgeschafft werden.","stimme nicht zu","Wem politisches Asyl gewährt worden bzw. wer als subsidiär Schutzsuchender anerkannt ist, soll aus humanitären Gründen den engsten Familienkreis nachholen dürfen. Bei subsidiär Schutzsuchenden ist das auf die Zeit der Aufenthaltsberechtigung zu begrenzen."
33,"PdF","Partei des Fortschritts",9,"Abschaffung des Familiennachzugs","Das Recht anerkannter Flüchtlinge auf Familiennachzug soll abgeschafft werden.","stimme nicht zu","Integration bedeutet nicht die ,,alte Kultur"" in die neue Heimat zu bringen. Man wird Teil einer neuen Gesellschaft und muss etwas Neues aufbauen, was schwierig ist und viele Opfer fordert. Die Aufgabe der Integration und des Neuanfangs ist leichter, wenn man sie gemeinsam bewältigt und hierfür bietet es sich an Familie und Freunde mit einzubeziehen. Die Abschaffung des Rechts auf Familiennachzug wäre somit schlecht für die deutsche Gesellschaft und alle, die sich integrieren wollen."
34,"LfK",">> Partei für Kinder, Jugendliche und Familien ",9,"Abschaffung des Familiennachzugs","Das Recht anerkannter Flüchtlinge auf Familiennachzug soll abgeschafft werden.","stimme nicht zu","Jede Familie und jede Familienform zu schützen und zu fördern muss eine der wichtigen Aufgaben des Staates sein."
35,"SSW","Südschleswigscher Wählerverband",9,"Abschaffung des Familiennachzugs","Das Recht anerkannter Flüchtlinge auf Familiennachzug soll abgeschafft werden.","stimme nicht zu","Es ist ein Menschenrecht mit seiner Familie zusammengeführt zu werden."
36,"Team Todenhöfer","Team Todenhöfer – Die Gerechtigkeitspartei",9,"Abschaffung des Familiennachzugs","Das Recht anerkannter Flüchtlinge auf Familiennachzug soll abgeschafft werden.","stimme nicht zu","Es wäre unmenschlich, sich gegen die Familienzusammenführung zu stellen. "
37,"UNABHÄNGIGE","UNABHÄNGIGE für bürgernahe Demokratie",9,"Abschaffung des Familiennachzugs","Das Recht anerkannter Flüchtlinge auf Familiennachzug soll abgeschafft werden.","neutral","Familien gehören zusammen; dadurch  darf aber kein Anreiz entstehen. "
38,"Volt","Volt Deutschland",9,"Abschaffung des Familiennachzugs","Das Recht anerkannter Flüchtlinge auf Familiennachzug soll abgeschafft werden.","stimme nicht zu","Volt setzt sich dafür ein, dass der Familiennachzug für die Kernfamilie von subsidiär Schutzberechtigten ohne Obergrenze möglich ist und die Verfahren schneller durchgeführt werden. Denn häufig verbleiben Familien auf der Flucht in anderen Ländern - es ist für das Einleben und Ankommen in einem neuen Zuhause wichtig, die eigene Familie um sich zu haben und in Sicherheit zu wissen."
1,"CDU / CSU","Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.",10,"Steuer auf digitale Dienstleistungen","Auf den Umsatz, der in Deutschland mit digitalen Dienstleistungen erzielt wird, soll eine nationale Steuer erhoben werden.","neutral","Wir setzen uns auf OECD-Ebene für eine faire Besteuerung der digitalen Wirtschaft ein, die dann national umgesetzt wird. Große digitale Konzerne sollen ihre Steuern auch dort zahlen, wo sie ihre Umsätze erzielen."
2,"SPD","Sozialdemokratische Partei Deutschlands",10,"Steuer auf digitale Dienstleistungen","Auf den Umsatz, der in Deutschland mit digitalen Dienstleistungen erzielt wird, soll eine nationale Steuer erhoben werden.","stimme zu","Unser Kanzlerkandidat Olaf Scholz hat für eine historische Vereinbarung bei der Unternehmensbesteuerung gesorgt: Künftig wird es eine globale Mindestbesteuerung geben und die Besteuerung von Internetkonzernen wird geändert. Sie können nicht mehr in Steueroasen ausweichen. Deutschland erhält das Recht auf einen Teil ihres Gewinns (nicht den Umsatz) Steuern zu erheben, auch wenn sie keine Produktionsstätte bei uns haben. Das werden wir zeitnah in europäisches und deutsches Recht umsetzen."
3,"AfD","Alternative für Deutschland",10,"Steuer auf digitale Dienstleistungen","Auf den Umsatz, der in Deutschland mit digitalen Dienstleistungen erzielt wird, soll eine nationale Steuer erhoben werden.","stimme zu","Die AfD fordert die Einführung einer Digitalsteuer für Tech-Riesen (""Gafam""), die nicht auf den Gewinn, sondern auf den Umsatz dieser Unternehmen erhoben wird. Denkbar ist dabei die Besteuerung von Umsätzen aus dem Platzieren personalisierter Werbung auf der Basis von Nutzerdaten, Umsätzen aus Vermittlungsdiensten zwischen Nutzern und Umsätzen aus dem Verkauf von Nutzerdaten. Deutschland sollte zügig eine nationale Digitalsteuer auf den Weg bringen."
4,"FDP","Freie Demokratische Partei",10,"Steuer auf digitale Dienstleistungen","Auf den Umsatz, der in Deutschland mit digitalen Dienstleistungen erzielt wird, soll eine nationale Steuer erhoben werden.","stimme nicht zu","Der Vorschlag der G7-Staaten zu einer globalen Mindeststeuer ist ein wichtiger Schritt. Ziel sollte eine weltweit faire Besteuerung von Unternehmen sein. Es darf nicht so bleiben, dass der Mittelstand seine Steuern zahlt, während einige Großunternehmen in Offshore-Steueroasen ausweichen. Es sollte nun eine globale Einigung gegen aggressive Steuervermeidung erzielt werden. Eine nationale oder europäische Digitalsteuer ist hingegen nicht zielführend."
5,"DIE LINKE","DIE LINKE",10,"Steuer auf digitale Dienstleistungen","Auf den Umsatz, der in Deutschland mit digitalen Dienstleistungen erzielt wird, soll eine nationale Steuer erhoben werden.","stimme zu","Die 6 größten amerikanischen Tech-Unternehmen (Amazon, Facebook, Google, Netflix, Apple und Microsoft) haben sich in den vergangenen 10 Jahren mindestens 100 Milliarden Dollar ,,gespart"". Digitalkonzerne müssen in den Ländern Steuern zahlen, in denen sie wirtschaftlich aktiv sind. Sie dürfen nicht in Steueroasen ausweichen."
6,"GRÜNE","BÜNDNIS 90/DIE GRÜNEN",10,"Steuer auf digitale Dienstleistungen","Auf den Umsatz, der in Deutschland mit digitalen Dienstleistungen erzielt wird, soll eine nationale Steuer erhoben werden.","stimme zu","Wir wollen, dass sich alle angemessen an der Finanzierung des Gemeinwesens beteiligen und verhindern, dass große Konzerne ihre Gewinne in Steuersümpfen anfallen lassen und so unfaire Wettbewerbsvorteile erlangen. Aus diesem Grunde wollen wir Google, Facebook und Co. mit einer Digitalkonzernsteuer endlich angemessen besteuern.  Eine europäische Lösung ist wünschenswert, bei fehlender Einigung gehen wir in verstärkter Zusammenarbeit oder gemeinsam mit einzelnen Staaten voran."
