ID,Company,Industry,Topic,Audience,Type,UseCase,Title,Abstract,Experience,FirstName,LastName,FullName,JobTitle,Biography
36,Neo4j,General,Performance,Data Scientists,Full Length Session,"Apps & APIs, Data Science, Operations",Achieve Blazing-Fast Ingest Speeds with Apache Arrow,"In this talk, you'll learn about the Neo4j Graph Data Science team's work utilizing Apache Arrow to provide high efficiency data ingress/egress from Neo4j. We'll take attendees through an overview of the problem statement of building large graphs quickly, exporting them even faster , how Apache Arrow works, and applying Arrow in your data engineering pipeline for large-scale Neo4j use cases.",Basic,Dave,Voutila,Dave Voutila,Sales Engineering Manager,"Dave has spent over a decade in pre-sales engineering for enterprise software companies including Neo4j, Attivio (now part of ServiceNow), and Empirix (now Hammer). Prior to Neo4j, he worked as an independent software engineer and lead cloud architecture for a Norwegian marketing analytics SaaS startup. Outside of Neo4j, he's previously organized for the local Python community in Burlington, Vermont and been a contributor to the Free Law Project. Currently, he's an active committer for OpenBSD focused on hardware virtualization."
37,Neo4j,General,CoreDB-Prod,Developer,Full Length Session,"Apps & APIs, Best Practices, Cloud, Knowledge Graphs, Language-specific, Security",The Inside Scoop on Neo4j: Meet the Builders,,Basic,Stu,Moore,Stu Moore,Product Manager,
38,Northrop Grumman,General,Digital Twin,Developer,Full Length Session,"Apps & APIs, Operations",Enter the Matrix: Synthesising a Logical Digital Twin in Neo4j,"Maximizing efficiency in facility planning is difficult because buildings are complex systems. Tracking components such as electrical systems, security, network and data, people, seats, doors, etc., can become an insurmountable task. We propose a novel strategy to grapple with this inherent complexity through the utilization of graph-based Digital Twins in Neo4j. Producing a Digital Twin involves many different data sources, including architectural diagrams, HR data, and LiDAR scans to capture 3D representations of building interiors. In this talk, we'll demonstrate how Northrop Grumman creates and implements these Digital Twins to orient new team members, optimize seating assignments, communicate changes to the employee base, track resource usage, coordinate large-scale moves, and analyze the delta between what was planned and what actually exists, thus making a historically underutilized resource more accessible and manageable.",Intermediate,Spencer,Shiotani,Spencer Shiotani,Principal Cognitive Software Engineer,"Spencer Shiotani has an Aerospace Engineering B.S. from University of Colorado, as well as an Engineering MSE from University of Arkansas. He has over 14 years of experience of software development in research and engineering. He's worked at Northrop Grumman for 6+ years, and worked on multiple NASA projects, including deep space exploration."
39,Northrop Grumman,Aerospace and Defense,Machine Learning,Data Scientists,Full Length Session,"Data Science, Graph Visualization",A Fusion of Machine Learning and Graph Analysis for Free-Form Data Entry Clustering,"Free-form text often contains critical information necessary to understand a situation. However, because the user can enter text with few constraints, programmatically aggregating individual responses into a cohesive whole can be extremely difficult. Similarities between individual responses can illuminate constellations within the data that outline a bigger picture. Graph architectures are the ideal mechanism by which these connections can be revealed and explored. With the recent advent of transformer deep learning models, natural language can now be embedded into vectors that more completely capture the semantic meaning of the words. Graph analysis of similarity scores calculated between transformer embeddings provides the big picture view that is often so elusive. Thus, through a combination of deep learning, shallow learning, and graph algorithms we can extract greater insight from free-form text. In this talk, we will explore an example of this method using Neo4j and Google’s BERT transformer model.",Intermediate,Andrew,Flinders,Andrew Flinders,Principal Data Scientist,"Dr. Andrew Flinders has worked as a Principal Data Scientist and research lead for Northrop Grumman since early 2020, where he has specialized in the application of natural language processing within the defense industry. Andrew has a background in physics, obtaining his bachelor’s from Weber State University followed by masters and PhD from the University of Utah. Andrew has always been fascinated by techniques that allow information to be extracted from noisy data, something required in both physics and data science."
40,Expedia Group,Travel,CoreDB-UC,General,Full Length Session,Operations,How Expedia’s Entity Graph Powers Global Travel,"The Expedia Group Platform serves more than 200 travel sites in 70 countries and encompasses nearly 3 million properties. Expedia developed its Entity Key Graph (EKG) using Neo4j, unlimited entity graph traversals such as starting at a known reservation and moving to the associated unit and then to the property and then to the owner. The ability to traverse the business graph in a native graph engine like Neo4j allows Expedia to easily slice off “views” of data that can be used time and time again. This common graph platform allows any view of data to be created with the same underlying graph supporting it, with no extra indexes or complex SQL queries required. 

In this session, Chris Williams, principal engineer, will outline how Expedia uses Neo4j in conjunction with MongoDB to build flexible and powerful event-driven views of its massive graph. Chris will be joined by Raghu Sayana, staff engineer, who will discuss how Neo4j fits in Expedia’s automated deployment framework to support this and other use cases with minimal hands-on effort.",Intermediate,Raghavendra,Sayana,Raghavendra Sayana,Cloud Automation and Reliability Engineer,"Raghu Sayana is instrumental in building an automated data platform for Expedia Group. The platform he helped architect and build supports over 6,000 database servers using eight major NoSQL technologies across more than100 AWS accounts."
41,Neo4j,General,Best Practices,General,Lightning Talk,Best Practices,Graph Data Modeling Best Practices,"Graph data modeling is an art as well as a science. It can be much more involved than the initial whiteboard model and can make a huge difference in your project. In this talk, we'll discuss the iterative data modeling process and point out some common modeling, performance, and validation issues – and their solutions.",Intermediate,Eric,Monk,Eric Monk,Principal Solutions Engineer,"Eric Monk is a Neo4j Principal Solutions Engineer and has been using Neo4j for eight years, building design tools and helping customers implement Neo4j within their enterprises. Eric has a rich background in many aspects of data, including enterprise data integration, data wrangling, data analysis, and data visualization. Eric is based in the greater Washington, DC metro area."
42,Neo4j,General,CoreDB-Prod,General,Workshop,Operations,Neo4j Ops: Monitoring,"In this hands-on workshop, we'll work with the Neo4j Docker Image to set up our database instances and to monitor metrics and logs. We will go through what settings to consider and what to think about when you're setting up your own monitoring solution, as well as help you get started.",Basic,Max,Andersson,Max Andersson,Developer Advocate,"Max is a DevOps Engineer with a background in building, migrating, deploying, configuring, and educating in cloud computing and distributed systems. Previously, Max has worked as a consultant with many clients ranging from startups to enterprises handling deployments on multiple cloud providers. Max is an easy-going and value-driven individual who, in his spare time loves skiing and traveling. He also likes to play around with new technologies in his home computer lab."
44,SerNet Inc.,General,Security,Developer,Full Length Session,"Cypher, Security",Cybersecurity Automation with OSCAL and Neo4j,"State-sponsored and state-tolerated cyber attacks continue to rise. Governments and regulators also continue to respond. Companies are facing an increasing number of compliance requirements and controls. The result is that assessment cycles are becoming faster and control satisfaction needs to be verifiable with high granularity down to single control statements for individual systems or even system components. The U.S. National Institute of Standards and Technology (NIST) has developed OSCAL, a machine-readable language for cybersecurity control implementation and assessment. The next step is to develop implementations to aid cybersecurity practitioners in their daily tasks, such as: determining control prerequisites, finding related controls, tailoring controls to the organization,and assessing control implementation. We demonstrate ""OSCL4NEO4J"" – a set of open source scripts and REST API that can be used to import and work with OSCAL data in Neo4j to solve practical problems faced by cybersecurity practitioners every day. The open source project that we present has already been recognized by NIST.gov and is referenced from their official OSCAL repository.",Intermediate to Advanced,Alexander,Koderman,Alexander Koderman,Senior Developer,"Alexander Koderman (CISA, PMP, ISO 27001 LA, RHCE, NCLP) is an experienced cybersecurity, compliance and risk management professional with over 20 years of experience. He served as Chief Security Officer for Cassidian Communications, a subsidiary of Airbus Secure Land Communications. He has led the IT security team at Deutsche Kreditbank AG, one of the largest banks in Europe under direct ECB supervision. He has consulted numerous organizations of all sizes in matters of cybersecurity, information security risk management, and IT governance. He now works on developing the next generation of GRC tooling for SerNet Inc. in Berlin."
45,Neo4j,General,Best Practices,Developer,Full Length Session,"Apps & APIs, Best Practices, Language-specific, Operations",Neo4j Drivers Best Practices,"Neo4j & Neo4j AuraDB support Python, JavaScript, Java, Go, and .NET. In this session, we’ll cover some best practices for using Neo4j drivers in your application. We'll provide worked code examples of the most common things people try to do, and good patterns that will making coding with Neo4j easier. We will also dive into how querying a Neo4j database works, how Neo4j clusters operate, how queries are sent through the system, and what's happening under the hood of how drivers work.",Advanced,M. David,Allen,M. David Allen,Senior Director of Developer Relations,"M. David Allen leads the developer relations team at Neo4j where he helps developers build cool new applications on top of Neo4j AuraDB and broadens the impact of the amazing Neo4j community. When David is not trying to improve something technical, you'll usually find him trying to restore an Appalachian dulcimer, playing some kind of musical instrument, or cycling. David loves meeting new people, and has a very keen interest in language and culture and loves to find common ground with other people through travel and music."
46,XRP Ledger Foundation,Blockchain,CoreDB-UC,Developer,Full Length Session,Cypher,XRP Ledger Blockchain ETL with Neo4j,"A story of ups, downs, learnings, and findings from working with representing the XRP Ledger in Neo4j. What started as a hobby project in 2018 to represent and analyze payments only, expanded in 2019 into a full history graph representation of the XRP Ledger blockchain that has been running for more than nine years with 2.2 billion transactions, generating more than 1.5 billion ledger objects. In 2022, the data model is updated to better scale with increased XRP Ledger use, reduce the storage footprint more than 50 percent by applying learning from the past years to remove redundant properties, move unused data to JSON strings that can be parsed with APOC as needed, and to reflect new possibilities with Neo4j 4.x. This talk also showcases how the database, that is kept in sync with the XRP Ledger +/- 10 seconds, is used in the fight against criminal finances by “following the money,” and how it is used to stay ahead of money laundering when criminals move funds quickly around prior to moving it to legitimate exchanges.",Intermediate,Thomas,Silkjaer,Thomas Silkjaer,Head of Analytics and Compliance,"Thomas believes that new technology can provide unique value and opportunity, but has a natural skepticism that new is not always better. He combines this with the urge to know why and how things work, and explores possibilities of analyzing and utilizing the connected data in blockchain, both visually and investigative. Thomas is Head of Analytics and Compliance at the XRP Ledger Foundation, as well as a contributor at Forbes."
47,NASA,Aerospace and Defense,Knowledge Graph,Data Scientists,Full Length Session,"Data Science, Knowledge Graphs",Expanding Your Knowledge Graph Through NLP,"The beauty of knowledge graphs is the ability to expand your knowledge by connecting other domains. One way to develop these connections is through the use of natural language processing (NLP). In this presentation, we will add to NASA’s Skills knowledge graph by developing a NASA-specific skills tagger to extract entities from documents to help us find people and positions that share common skills and competencies. This approach can be used with skill mapping, skills gap, project profiles, workforce plans, and more.",Basic to Intermediate,David,Meza,David Meza,"AIML R&D Lead, People Analytics","David Meza currently serves as AIML R&D Lead and Senior Data Scientist at NASA Headquarters, and was formerly Chief Knowledge Architect at NASA Johnson Space Center (JSC). During his tenure at NASA, he has worked in all aspects of the Information Technology field developing and deploying several IT systems. In his role at JSC, he established the Knowledge Architecture framework, promoting a viewpoint of organizational leadership that stresses the use of knowledge management, informatics, and data science as methods to turn data into actionable knowledge. He holds a Master’s in Engineering Management from the University of Houston-Clear Lake."
49,Neo4j,General,CoreDB-Prod,General,Full Length Session,"Best Practices, Operations",New! Monitoring and Administration with Neo4j Ops Manager,"Neo4j Ops Manager (NOM) is the Neo4j solution for monitoring and administering one or more Neo4j DBMS implementations. NOM is included with Neo4j Enterprise Edition and supports single instance as well as clustered DBMSs. The initial release includes features such as a dashboard for monitoring metrics, a system topology of managed DBMSs, and a GUI for DBMS configuration and role-based access control. Attend this session to learn how NOM makes managing Neo4j operations easier and more intuitive.",Intermediate,Stu,Moore,Stu Moore,Product Manager,
51,Neo4j,General,Development,Developer,Workshop,"Full Stack, Graph Visualization, GraphQL",Full-Stack Visualization: Build a React App with a Sankey Diagram,"See how to build a React App that features a Sankey diagram using Neo4j and the GraphQL Library. Sankey diagrams are a type of visualization that show network or process flows. The talk will touch on different components of the entire stack: what data is needed for the Sankey diagram in the Neo4j web browser, how to write GraphQL and use the Neo4j GraphQL library to pull the data back, and how to make GraphQL calls to render the Sankey visualization and populate it with data. You'll see the code, libraries, and techniques to build a full-stack visualization application.",Intermediate,Eric,Monk,Eric Monk,Principal Solutions Engineer,"Eric Monk is a Neo4j Principal Solutions Engineer and has been using Neo4j for eight years, building design tools and helping customers implement Neo4j within their enterprise. Eric has a rich background in many aspects of data, including enterprise data integration, data wrangling, data analysis, and data visualization. Eric is based in the greater Washington, DC metro area."
54,Dell,Technology,CoreDB-UC,Developer,Full Length Session,Use Case,How Dell Used Neo4j Graph Database to Redesign Their Pricing-as-a-Service Platform,"Dell Digital's traditional enterprise architecture couldn't handle data consolidation and pre-assembling needs, which impacted the performance of their Pricing-as-a-Service offering. It needed to manage exponential data growth, plus handle different data types within the pricing domain. Learn how Neo4j graphs helped improve these challenges, plus the processing of their pricing data and approaches used to optimize licensing costs. We will also walk through the migration process from their legacy system into Neo4j and provide an overview of the current production setup and data volume being served. ",Basic,Andrew,Nepogodin,Andrew Nepogodin,Cloud Architect,"Andrew Nepogodin, a cloud architect at Dell, oversees the cloud native commerce platform. Andrew's expertise is in commercial SaaS offerings in public cloud. He has extensive modelling and simulation experience in defense and aerospace industries, and has certification in ML. Andrew also has invention patents related to First Responders' decision supporting systems."
57,Hennepin County,Healthcare,CoreDB-UC,General,Full Length Session,Use Case,Tracking Pandemic Recovery Using Graphs,"As local governments faced the challenges of the COVID-19 pandemic, they were confronted with a significant amount of information. Estimates about the state of the economy, housing, and public safety within communities were readily available, but finding broader insights was much harder. For example, how can we meaningfully compare quarterly unemployment rates for counties against zip-code level small business openings and city-level unemployment filings? 
To meet this challenge, we created a graph database for Hennepin County that integrates disparate data sources in ways that broaden our understanding of the impact of the pandemic across domains. Moreover, unifying our data in a graph enables us to quickly integrate new data sources. This project is the start of a promising way to integrate operational data about county services and programs, showing who the county serves and interacts with as well as the broader community impact. Our hope is that the flexibility of the graph will allow us to quickly integrate new data about county residents and their communities, improving the efficacy of government services and the well-being of our citizens. Join our session to learn more. ",Basic,Erik,Erickson,Erik Erickson,Chief Data Officer,"Erik Erickson is the Chief Data Officer for Hennepin County, Minnesota’s most populous county. Erik provides leadership to advance the use of data for better policy and more effective government. He does this by furthering the role of data science, fostering a data-informed culture, and helping the county use its data as both an operational and strategic asset. Erik has over a decade of leadership experience in data and analytics with a background in applied research, program evaluation, and education. He holds a master’s in Educational Policy and a doctorate in Organizational Leadership, Policy, and Development. Outside of work, Erik is involved in his community as a youth soccer coach and enjoys cross-country skiing as a way to conquer Minnesota winters."
58,LARUS Business Automation,General,Development,Developer,Workshop,Best Practices,Master Real-Time Streams With Neo4j and Apache Kafka,"Everybody wants secure access to data as fast as possible (near real-time), with the ability to extract meaningful insights from them. Apache Kafka and Neo4j are two of the main platforms that facilitate the achievement of this goal. Learn how you can easily integrate these two technologies and build complex streaming data pipelines that leverage the power of Kafka Connect via the Neo4j Connector for Apache Kafka. We'll show you how to setup the connector in both Source (extracting data from Neo4j and writing to a Kafka topic) and Sink (reading data from a Kafka topic and ingesting them into Neo4j) modes, and demonstrate how they work together.",Advanced,Mauro,Roiter,Mauro Roiter,Full Stack Developer,"Mauro Roiter is a full stack developer at LARUS Business Automation, with experience as a senior software developer and a software architect. His main fields of interest are backend systems and integration architectures. As a lead developer, he's focused on technical debt reduction, code coverage improvement, and code cleanup. He's also the creator of the Neo4j-Couchbase connector. During the last two years he has been dedicated to supporting customers using the official Neo4j-Kafka connector."
59,Neo4j,General,Development,General,Full Length Session,Security,Encrypting and Protecting Your Data in Neo4j,"In this presentation, Jeff Tallman shows how you can encrypt data stored in Neo4j using certified algorithms - from full database encryption to property-level encryption (which, in the RDBMS world, is called column encryption). He explains the impact of encryption on query performance and how industry standard requirements map to technology requirements. Jeff explains how to integrate solutions such as Protegrity and Vormetric to achieve compliance. Jeff will also describe how RBAC controls complement encryption for a full solution.",Advanced,Jeff,Tallman,Jeff Tallman,Sr Presales Engineer,"Before joining Neo4j three years ago, Jeff Tallman spent the previous three decades working with RDBMS internals, performance tuning, high availability, and data security for bank trading and transportation systems for some of the world’s largest banks and transportation companies. Since coming to Neo4j, Jeff has shifted gears to application use cases and has worked on fraud detection, entity resolution/disambiguation, and network infrastructure topology solutions with customers."
61,Neo4j,General,Machine Learning,Data Scientists,Lightning Talk,"Data Science, Knowledge Graphs",Using Connected Data and Graph Technology to Enhance Machine Learning and Artificial Intelligence,"Graph databases and graph data science tools bring the connections and context needed to make AI / ML algorithms work better, revealing insights embedded deep within your data. In today's world of highly connected data, the use of graph algorithms to supplement traditional data science methods can help you uncover knowledge that may be overlooked otherwise. This presentation will introduce you to the topic of Neo4j Graph Data Science at a high level, why it deserves your attention, and will leave you wanting to learn more. This is a wave you most definitely want to jump on... don't be left behind!",Basic,Cynthia,Femano,Cynthia Femano,Senior Solutions Architect,"Cynthia Femano is a Senior Solutions Architect at Neo4j, supporting Public Sector customers. Over her career, Cynthia has worked for database software companies such as Sybase, HP Vertica, Teradata, and Neo4j, along with consulting for numerous government and commercial establishments. Cynthia has a Master's Degree in Computer Science from The Johns Hopkins University Whiting School of Engineering, where she currently serves as a member of the Alumni Leadership Board."
63,Neo4j,General,Visualization,General,Full Length Session,"Best Practices, Cloud, Graph Visualization, Security",Neo4j Bloom: What’s New with Neo4j's Data Visualization Tool,"In this session, Neo4j’s product manager for Bloom, Jeff Gagnon, will discuss some of the product’s new capabilities introduced over the past year, and will demonstrate how they can be used in various domains like cybersecurity, fraud detection, and more.",Basic,Jeff,Gagnon,Jeff Gagnon,Product Manager,"Jeff Gagnon is the product manager for Bloom. He has experience working in various data-driven roles, including cybersecurity, and has over a decade of experience working with graphs, data visualization, and explaining technical topics to non-technical audiences. His academic background includes software development and psychology. "
64,Neo4j,General,Development,Developer,Workshop,Language-specific,Hands-On Neo4j for Python Developers,"Explore Neo4j’s 5.0 Python driver with Python Developer Advocate Jason Koo in this hands-on workshop. You’ll practice setting up and using the driver in local and remote scenarios, find out how to handle authentication, learn a few basic Cypher commands, and walk through resources for getting help. Bring your laptop with Python 3.7+ installed and your favorite Python editor (Jason will be using Visual Studio Code).",Advanced,Jason,Koo,Jason Koo,Python Developer Advocate,"Video Editor turned Pythonista, Jason Koo is Neo4j’s resident Python Developer Advocate. He has gone from working behind the scenes in Hollywood to developing apps for Silicon Valley companies. He now leverages both experiences to advocate for visually oriented developer materials."
65,Neo4j,General,Development,Developer,Full Length Session,"Best Practices, Cloud, Full Stack",The Streaming Graph: Integration Strategies With Kafka and Neo4j for Near Real-Time Insights,"In this session we willl show how Kafka, Kafka Streams, and an ecosystem of connectors can be used with Neo4j to provide real-time insights for smarter decisions making.",Basic to Intermediate,Alex,Woolford,Alex Woolford,Field Engineer,"Alex Woolford is a field engineer at Neo4j, where he helps customers turn their ""graphy"" ideas into reality."
70,Neo4j,General,Visualization,Data Scientists,Lightning Talk,"Data Science, Graph Visualization",Visualizing Insights with Bloom and Graph Data Science,"Data represented as graphs usually contain some wonderful stories. Using graph data science, one can calculate interesting insights about this data. Without the final step of conveying these insights, however, the true color of data is often under-appreciated. In this lightning talk, we'll show you some ways to visualize data using Neo4j Bloom and Neo4j Graph Data Science.",Basic,Yi Ren,Sum,Yi Ren Sum,Software Engineer,"Yi Ren Sum is a software engineer currently working on the Bloom team at Neo4j, where his role is to build out the visualization of graph data (from small graphs to thousands of nodes) and navigate the performance complexities that come with that. Previously, he was a software engineer in the Evidence Lab at UBS."
71,Neo4j,General,Development,Developer,Full Length Session,"Apps & APIs, Aura, Language-specific",Pouring Coffee Into the Matrix: Building Java Applications on Neo4j,"Many of us have built applications for traditional data structures (like relational database tables), but is it different for graph data stores? Do developers need to retool and relearn? In this session, we'll cover a brief introduction to graphs, walk you through writing a typical Java application with Spring, and connect it to Neo4j. From interacting with the graph data from the application to deploying to the cloud, you'll see the process from start to finish. You'll also learn how to tackle pitfalls and pick up tips along the way, as well as explore the ways we can build, deploy, and connect applications to the database. This will come alive through a live demo, as we see the results of our efforts. Come to this session to build your business applications for graph data!",Intermediate,Jennifer,Reif,Jennifer Reif,Developer Advocate,"Jennifer Reif is a Developer Advocate at Neo4j, as well as a speaker and blogger with an MS in CMIS. An avid developer and problem-solver, she has worked with many businesses and projects to organize and make sense of widespread data assets and ue them for maximum business value. She has expertise in a variety of commercial and open source tools, and she enjoys learning new technologies, sometimes on a daily basis! Her passion is finding ways to organize chaos and deliver software more effectively."
73,Graphable,General,Machine Learning,Data Scientists,Lightning Talk,"Data Science, Language-specific",Integrated Graph Machine Learning with GDS 2.0 and Python,"One of the toughest challenges for data scientists adopting Neo4j Graph Data Science is unfamiliarity with Cypher and the Neo4j interface. In this demonstration, we will break down this barrier by demonstrating how to integrate Graph Data Science with Python analytics in Jupyter. Using the GDS 2.0 Python driver, we will work through a graph machine learning use case via Python in Jupyter.  We will then integrate and interpret the results using other Python libraries to demonstrate how the Neo4j Python driver offers seamless integration with the tools and libraries data scientists use in their daily work. 

You will get access to sample code for performing ML and graph analytics in GDS using nothing but Jupyter, Python, and simple Cypher. You will also learn how to integrate your results with popular data science libraries.",Advanced,Sean,Robinson,Sean Robinson,Lead Data Scientist,"Sean Robinson is a Lead Data Scientist Consultant at Graphable. He has a BS in Computer Science, an MS in Data Science, and experience in software development and data science research in the financial industry. He also serves as adjunct faculty at the University of North Carolina at Charlotte's School of Data Science where he teaches Network Science and Graph Theory. He focuses on educating the next generation of data scientists and business users alike on the power of using graphs in their analytics and problem solving. Currently his focus is on the use of graphs for drug discovery and biomedical research to contribute to ongoing advancements in medicine with graphs."
74,JB Hunt,General,Development,Developer,Lightning Talk,Language-specific,Building a Micro ORM for Neo4j in .NET,"In a world where Neo4j has solid .NET support, community drivers, and extensions, one developer asks: But what if they didn't exist and we had to get Java developers to use our library? Over the course of developing Graphr.Neo4j, we shamelessly copied from Spring Data Neo4j, learned how much reflection can damage our relationships with real-life people, and had a lot of fun along the way. And yes, the Java expats at work seem happy enough with the results.",Advanced,Donovan,Bergin,Donovan Bergin,Expert Software Engineer,"Donovan Bergin is an Expert Software Engineer at J.B. Hunt by day and an amateur writer by night. He has over ten years of experience developing and architecting solutions across a variety of industries, a deep love for data, and a passion for .NET."
75,Linkurious,General,Fraud,Data Scientists,Lightning Talk,"Aura, Cypher, Graph Visualization",Fighting Fraud with Neo4j Graph Data Science,"In this presentation, you'll learn tips for using Neo4j Graph Data Science to detect and fight fraud. This presentation will include information about our work with Zurich Insurance (bonus points if you take the time to read up on this client n the case study on Neo4j.com).",Basic,Huong,Tran,Huong Tran,Evangelist,"Huong Tran has a background in both business and marketing. At Linkurious she has engaged with hundreds of clients interested in applying graph analytics to use cases such as anti-money laundering, data governance, and cybersecurity. Huong is passionate about communicating the insights she's learned and engaging with the graph community."
77,Neo4j,General,Cloud,Developer,Full Length Session,"Apps & APIs, Aura, Cloud, Operations",Combining the Best Cloud Technologies with Innovative Engineering: How We Built Neo4j Aura,"Neo4j Aura is a fully managed, cloud-native graph data platform, designed to be your fastest path to graph. In this talk, Neo4j Aura architect Alistair Jones will describe how Neo4j Engineering combined the best cloud technologies with innovative processes to build and operate Neo4j Aura to meet your most stringent requirements for scale, security, reliability, and ease of use.",Intermediate,Alistair,Jones,Alistair Jones,Director of Engineering,"Alistair Jones has been with Neo4j for more than 10 years. He worked as an engineer developing many of the technologies that now form the core of the Neo4j Graph Data Platform, and now works as an engineering leader and architect, developing the great teams that make up Neo4j."
78,EquityBee,General,AuraDB,Developer,Lightning Talk,"Apps & APIs, Full Stack",Why We Decided on Transforming Our Operational Database from Firebase to Neo4j AuraDB,"EquityBee is a growing startup, and as such, scaling up and expansion is a super crucial step for their business success. The unique use case has placed a harsh demand for the ability to expand and scale. The decision was to transit to a graph database and present a custom ORM within it. The ORM was originally built to define all schemas, relationships, and data validations. This transition was made with harsh performance requirements, and that is why EquityBee aimed to keep the NodeJS codebase clean and performant – while making the dev team’s life easier – by using a custom-built Query Builder to enable developers to code in a JS object manner. Presented by EquityBee's Founder and CTO, this session will focus on their unique use case and how they have scaled their operational database from Firebase to Neo4j AuraDB.",Advanced,Arthur,Zverko,Arthur Zverko,Software Engineering Team Lead,"Arthur is a team lead of software engineers and has been working at EquityBee for a year. Arthur's responsibility is to improve the product by scaling the company’s operations. Throughout his career, he has worked with a multitude of databases and methodologies, first as a BI & Data Engineering team lead in the intelligence industry, using Oracle DB to create fast and responsive BI systems. He's been a Software Engineer using NoSQL DBs and Redis for real-time products, and is now Senior SE in EquityBee that used Firebase as its sole database but recently migrated all of the company’s data to Neo4j to adapt to the scaling startup needs. Arthur is a sports fanatic, first fencing for 10 years and being ranked third in the country to then playing as wide receiver for three years in the Israeli American Football League."
79,GraphAware,Law Enforcement,CoreDB-UC,Developer,Full Length Session,"Apps & APIs, Best Practices",Tracking Data Sources of Fused Entities in Law Enforcement Graphs,"Graphs are commonplace in investigative, intelligence, and law enforcement work. One of the primary advantages of a graph is to connect data from various data sources, digital and human, and maximize insights across deep and complex networks of connections, bringing them together in fusion centers for a centralized view of suspicious activities. For analysts, data quality and trust is key. The reliability, validity, and general consistency of data sources that contribute to forming real world fused entities is a factor that influences the analysts’ interpretation of events. This session talks about the challenges related to surfacing these aspects of data provenance and various approaches that can be employed to address them using Neo4j. We will touch on graph modeling, implications for data security, and how sources and information ratings can be effectively shared with analysts who need access to them.",Basic,Luanne,Misquitta,Luanne Misquitta,VP of Engineering,"Luanne Misquitta is VP of Engineering at GraphAware and has been (happily) working with Neo4j for over 12 years. She is a frequent participant at graphy events and has spoken at GraphConnect in Europe and in the US. She heads the Hume engineering team and works with some of GraphAware’s key clients on graph modeling, Cypher, best practices, and the application of graphs in various domains, especially law enforcement. She was previously an open source committer and a core contributor to the Neo4j OGM and SDN 4 frameworks."
80,Neo4j,General,Security,Developer,Lightning Talk,Security,Role-Based Access Control (RBAC) in Neo4j,"
This presentation looks at the basics of RBAC, including which privileges are available and how to construct roles to achieve the separation of duties required by many corporations and security standards. These roles include developers, data scientists, application users, and automated job processing.
",Basic,Jeff,Tallman,Jeff Tallman,Senior Presales Engineer,"A three-year Neo4j veteran, Jeff Tallman spent the last three decades working with RDBMS internals, performance tuning, high availability, and data security for bank trading and transportation systems with several of the world’s largest banks and transportation companies. Since coming to Neo4j, Jeff has shifted gears to application use cases and has worked on fraud detection, entity resolution/disambiguation, and network infrastructure topology solutions with customers."
82,Neo4j,General,Development,Developer,Full Length Session,"Apps & APIs, Best Practices, Cloud, Cypher, Language-specific","Introducing Workspaces, a New Experience for Neo4j Developer Tools","User tools are evolving from separate products to the unified experience we call Workspace. In Workspace, Neo4j users can query their data, access world-class graph data visualization, and with the new Data Importer, model and import their data. Workspace combines the power of Browser, Bloom, and Data Importer into a seamless experience for Neo4j users.",Intermediate,Ian,Pollard,Ian Pollard,Product Manager,Ian Pollard serves as Product Manager for Developer Experience at Neo4j.
83,Neo4j,General,Development,Developer,Full Length Session,Cypher,Top 10 Cypher Tuning Tips & Tricks,"
I was there when Cypher was invented in 2012 and have been using it ever since. The language is extremely powerful and easy to learn. But to truly master it, you need to understand how it works internally and how the database executes your queries. In this session, you'll learn to look behind the scenes at execution plans with PROFILE and EXPLAIN and which specific clauses, expressions, structures, and operations help you minimize Cypher and database operations. After this talk, you should be able to speed up your Cypher statements quite a bit.
",Intermediate,Michael,Hunger,Michael Hunger,"Senior Director, User Innovation","Michael Hunger has been passionate about software development for more than 35 years. For the last 12 years, he has been working on the open-source Neo4j graph database in various roles, most recently leading the Developer Relations team. As caretaker general of the Neo4j community and ecosystem, he especially loves to work with graph-related projects, users, and contributors. As a developer, Michael enjoys many aspects of programming languages, learning new things every day, participating in exciting and ambitious open-source projects, and contributing to software-related books and articles. Michael has spoken at numerous conferences, several of which he has assisted in organizing. His efforts have been recognized in his acceptance to the Java Champions Program. Michael helps kids learn to program by running weekly girls-only coding classes at local schools."
86,Adobe,General,Operations,General,Full Length Session,"Best Practices, Cloud, Operations","99.9999% (Seriously, that Many 9's) Uptime at Adobe: How We Got There with Neo4j","Did you ever think you could setup your Casual Cluster to be self-healing and auto recoverable in the cloud? Would you like to know that your backups will restore without error and that your data is consistent every day? Come to this talk to learn more about running a stress-free Neo4j Causal Cluster. We'll also cover automated backups, daily restore testing / data consistency check, autoscaling groups, Flatcar OS, Docker implementation, Ansible, Terraform, ELB endpoints for leader, followers, and read replicas, ENI for persistent IP, as well as how to select the right instance types, gotchas, and the benefits of upgrading to Neo4j 4.4. ",Advanced,Daniel,Kang,Daniel Kang,Senior DevOPs Engineer,Daniel Kang has been working on behance.net and portfolio.adobe.com for the past few years at Adobe. Recommendations has been a boon for the platform and Neo4j is the engine powering that feature. He's had fun learning about Neo4j and how it's tremendously improved their platform.
