awardYear,category,categoryFullName,sortOrder,portion,prizeAmount,prizeAmountAdjusted,dateAwarded,prizeStatus,motivation,categoryTopMotivation,award_link,id,name,knownName,givenName,familyName,fullName,penName,gender,laureate_link,birth_date,birth_city,birth_cityNow,birth_continent,birth_country,birth_countryNow,birth_locationString,death_date,death_city,death_cityNow,death_continent,death_country,death_countryNow,death_locationString,orgName,nativeName,acronym,org_founded_date,org_founded_city,org_founded_cityNow,org_founded_continent,org_founded_country,org_founded_countryNow,org_founded_locationString,ind_or_org,residence_1,residence_2,affiliation_1,affiliation_2,affiliation_3,affiliation_4
1984,Chemistry,The Nobel Prize in Chemistry,1,1,1650000,3782090,1984-10-17,received,for his development of methodology for chemical synthesis on a solid matrix,,https://masterdataapi.nobelprize.org/2/nobelPrize/che/1984,261,Bruce Merrifield,Bruce Merrifield,Bruce,Merrifield,Robert Bruce Merrifield,,male,http://masterdataapi.nobelprize.org/2/laureate/261,1921-07-15,"Fort Worth, TX","Fort Worth, TX",North America,USA,USA,"Fort Worth, TX, USA",2006-05-14,"Cresskill, NJ","Cresskill, NJ",North America,USA,USA,"Cresskill, NJ, USA",,,,,,,,,,,Individual,,,"Rockefeller University, New York, NY, USA",,,
1976,Physics,The Nobel Prize in Physics,1,1/2,681000,3342605,1976-10-18,received,for their pioneering work in the discovery of a heavy elementary particle of a new kind,,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1976,105,Burton Richter,Burton Richter,Burton,Richter,Burton Richter,,male,http://masterdataapi.nobelprize.org/2/laureate/105,1931-03-22,"Brooklyn, NY","Brooklyn, NY",North America,USA,USA,"Brooklyn, NY, USA",2018-07-18,"Stanford, CA","Stanford, CA",North America,USA,USA,"Stanford, CA, USA",,,,,,,,,,,Individual,,,"Stanford Linear Accelerator Center, Stanford, CA, USA",,,
1927,Physics,The Nobel Prize in Physics,2,1/2,126501,3593778,,received,for his method of making the paths of electrically charged particles visible by condensation of vapour,,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1927,34,C.T.R. Wilson,C.T.R. Wilson,C.T.R.,Wilson,Charles Thomson Rees Wilson,,male,http://masterdataapi.nobelprize.org/2/laureate/34,1869-02-14,Glencorse,Glencorse,Europe,Scotland,Scotland,"Glencorse, Scotland",1959-11-15,Carlops,Carlops,Europe,Scotland,Scotland,"Carlops, Scotland",,,,,,,,,,,Individual,,,"University of Cambridge, Cambridge, United Kingdom",,,
1906,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1,1/2,138536,7421571,,received,in recognition of their work on the structure of the nervous system,,https://masterdataapi.nobelprize.org/2/nobelPrize/med/1906,298,Camillo Golgi,Camillo Golgi,Camillo,Golgi,Camillo Golgi,,male,http://masterdataapi.nobelprize.org/2/laureate/298,1843-07-07,Corteno,Corteno,Europe,Italy,Italy,"Corteno, Italy",1926-01-21,Pavia,Pavia,Europe,Italy,Italy,"Pavia, Italy",,,,,,,,,,,Individual,,,"Pavia University, Pavia, Italy",,,
1989,Literature,The Nobel Prize in  Literature,1,1,3000000,5242311,,received,"for a rich and intensive prose, which with restrained compassion forms a challenging vision of man's vulnerability",,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1989,666,Camilo José Cela,Camilo José Cela,Camilo José,Cela,Camilo José Cela,,male,http://masterdataapi.nobelprize.org/2/laureate/666,1916-05-11,Iria Flavia,Iria Flavia,Europe,Spain,Spain,"Iria Flavia, Spain",2002-01-17,Madrid,Madrid,Europe,Spain,Spain,"Madrid, Spain",,,,,,,,,,,Individual,Spain,,,,,
1931,Chemistry,The Nobel Prize in Chemistry,1,1/2,173206,5238085,,received,in recognition of their contributions to the invention and development of chemical high pressure methods,,https://masterdataapi.nobelprize.org/2/nobelPrize/che/1931,189,Carl Bosch,Carl Bosch,Carl,Bosch,Carl Bosch,,male,http://masterdataapi.nobelprize.org/2/laureate/189,1874-08-27,Cologne,Cologne,Europe,Germany,Germany,"Cologne, Germany",1940-04-26,Heidelberg,Heidelberg,Europe,Germany,Germany,"Heidelberg, Germany",,,,,,,,,,,Individual,,,"University of Heidelberg, Heidelberg, Germany","I.G. Farbenindustrie A.G., Heidelberg, Germany",,
1947,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1,1/4,146115,2914528,,received,for their discovery of the course of the catalytic conversion of glycogen,,https://masterdataapi.nobelprize.org/2/nobelPrize/med/1947,343,Carl Cori,Carl Cori,Carl,Cori,Carl Ferdinand Cori,,male,http://masterdataapi.nobelprize.org/2/laureate/343,1896-12-05,Prague,Prague,Europe,Austria-Hungary,Czech Republic,"Prague, Austria-Hungary (now Czech Republic)",1984-10-20,"Cambridge, MA","Cambridge, MA",North America,USA,USA,"Cambridge, MA, USA",,,,,,,,,,,Individual,,,"Washington University, St. Louis, MO, USA",,,
1936,Physics,The Nobel Prize in Physics,2,1/2,159850,4913422,,received,for his discovery of the positron,,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1936,43,Carl D. Anderson,Carl D. Anderson,Carl D.,Anderson,Carl David Anderson,,male,http://masterdataapi.nobelprize.org/2/laureate/43,1905-09-03,"New York, NY","New York, NY",North America,USA,USA,"New York, NY, USA",1991-01-11,"San Marino, CA","San Marino, CA",North America,USA,USA,"San Marino, CA, USA",,,,,,,,,,,Individual,,,"California Institute of Technology (Caltech), Pasadena, CA, USA",,,
1919,Literature,The Nobel Prize in  Literature,1,1,133127,2377268,,received,"in special appreciation of his epic, <I>Olympian Spring</I>",,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1919,588,Carl Spitteler,Carl Spitteler,Carl,Spitteler,Carl Friedrich Georg Spitteler,,male,http://masterdataapi.nobelprize.org/2/laureate/588,1845-04-24,Liestal,Liestal,Europe,Switzerland,Switzerland,"Liestal, Switzerland",1924-12-29,Lucerne,Lucerne,Europe,Switzerland,Switzerland,"Lucerne, Switzerland",,,,,,,,,,,Individual,Switzerland,,,,,
1935,Peace,The Nobel Peace Prize,1,1,159917,4997406,1936-11-24,received,for his burning love for freedom of thought and expression and his valuable contribution to the cause of peace,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1935,500,Carl von Ossietzky,Carl von Ossietzky,Carl,von Ossietzky,Carl von Ossietzky,,male,http://masterdataapi.nobelprize.org/2/laureate/500,1889-10-03,Hamburg,Hamburg,Europe,Germany,Germany,"Hamburg, Germany",1938-05-04,Berlin,Berlin,Europe,Germany,Germany,"Berlin, Germany",,,,,,,,,,,Individual,Germany,,,,,
2001,Physics,The Nobel Prize in Physics,3,1/3,10000000,12295082,2001-10-09,received,"for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms, and for early fundamental studies of the properties of the condensates",,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/2001,740,Carl Wieman,Carl Wieman,Carl,Wieman,Carl E. Wieman,,male,http://masterdataapi.nobelprize.org/2/laureate/740,1951-03-26,"Corvallis, OR","Corvallis, OR",North America,USA,USA,"Corvallis, OR, USA",,,,,,,,,,,,,,,,,,Individual,,,"University of Colorado, JILA, Boulder, CO, USA",,,
1984,Physics,The Nobel Prize in Physics,1,1/2,1650000,3782090,1984-10-17,received,"for their decisive contributions to the large project, which led to the discovery of the field particles W and Z, communicators of weak interaction",,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1984,124,Carlo Rubbia,Carlo Rubbia,Carlo,Rubbia,Carlo Rubbia,,male,http://masterdataapi.nobelprize.org/2/laureate/124,1934-03-31,Gorizia,Gorizia,Europe,Italy,Italy,"Gorizia, Italy",,,,,,,,,,,,,,,,,,Individual,,,"CERN, Geneva, Switzerland",,,
1996,Peace,The Nobel Peace Prize,1,1/2,7400000,9490424,1996-10-11,received,for their work towards a just and peaceful solution to the conflict in East Timor,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1996,562,Carlos Filipe Ximenes Belo,Carlos Filipe Ximenes Belo,Carlos Filipe Ximenes,Belo,Carlos Filipe Ximenes Belo,,male,http://masterdataapi.nobelprize.org/2/laureate/562,1948-02-03,Wailacama,Wailacama,Oceania,East Timor,East Timor,"Wailacama, East Timor",,,,,,,,,,,,,,,,,,Individual,East Timor,,,,,
1936,Peace,The Nobel Peace Prize,1,1,159850,4913422,1936-11-24,received,"for his role as father of the Argentine Antiwar Pact of 1933, which he also used as a means to mediate peace between Paraguay and Bolivia in 1935",,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1936,501,Carlos Saavedra Lamas,Carlos Saavedra Lamas,Carlos,Saavedra Lamas,Carlos Saavedra Lamas,,male,http://masterdataapi.nobelprize.org/2/laureate/501,1878-11-01,Buenos Aires,Buenos Aires,South America,Argentina,Argentina,"Buenos Aires, Argentina",1959-05-05,Buenos Aires,Buenos Aires,South America,Argentina,Argentina,"Buenos Aires, Argentina",,,,,,,,,,,Individual,Argentina,,,,,
2009,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,2,1/3,10000000,10958504,,received,for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase,,https://masterdataapi.nobelprize.org/2/nobelPrize/med/2009,836,Carol W. Greider,Carol W. Greider,Carol W.,Greider,Carol W. Greider,,female,http://masterdataapi.nobelprize.org/2/laureate/836,1961-04-15,"San Diego, CA","San Diego, CA",North America,USA,USA,"San Diego, CA, USA",,,,,,,,,,,,,,,,,,Individual,,,"Johns Hopkins University School of Medicine, Baltimore, MD, USA",,,
1950,Physics,The Nobel Prize in Physics,1,1,164304,3050198,,received,for his development of the photographic method of studying nuclear processes and his discoveries regarding mesons made with this method,,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1950,55,Cecil Powell,Cecil Powell,Cecil,Powell,Cecil Frank Powell,,male,http://masterdataapi.nobelprize.org/2/laureate/55,1903-12-05,Tonbridge,Tonbridge,Europe,United Kingdom,United Kingdom,"Tonbridge, United Kingdom",1969-08-09,,,Europe,Italy,Italy,Italy,,,,,,,,,,,Individual,,,"Bristol University, Bristol, United Kingdom",,,
1984,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,3,1/3,1650000,3782090,,received,for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies,,https://masterdataapi.nobelprize.org/2/nobelPrize/med/1984,431,César Milstein,César Milstein,César,Milstein,César Milstein,,male,http://masterdataapi.nobelprize.org/2/laureate/431,1927-10-08,Bahia Blanca,Bahia Blanca,South America,Argentina,Argentina,"Bahia Blanca, Argentina",2002-03-24,Cambridge,Cambridge,Europe,United Kingdom,United Kingdom,"Cambridge, United Kingdom",,,,,,,,,,,Individual,,,"MRC Laboratory of Molecular Biology, Cambridge, United Kingdom",,,
1966,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,2,1/2,300000,2784653,,received,for his discoveries concerning hormonal treatment of prostatic cancer,,https://masterdataapi.nobelprize.org/2/nobelPrize/med/1966,384,Charles B. Huggins,Charles B. Huggins,Charles B.,Huggins,Charles Brenton Huggins,,male,http://masterdataapi.nobelprize.org/2/laureate/384,1901-09-22,Halifax,Halifax,North America,Canada,Canada,"Halifax, Canada",1997-01-12,"Chicago, IL","Chicago, IL",North America,USA,USA,"Chicago, IL, USA",,,,,,,,,,,Individual,,,"University of Chicago, Ben May Laboratory for Cancer Research, Chicago, IL, USA",,,
1920,Physics,The Nobel Prize in Physics,1,1,134100,2394643,,received,in recognition of the service he has rendered to precision measurements in Physics by his discovery of anomalies in nickel steel alloys,,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1920,25,Charles Edouard Guillaume,Charles Edouard Guillaume,Charles Edouard,Guillaume,Charles Edouard Guillaume,,male,http://masterdataapi.nobelprize.org/2/laureate/25,1861-02-15,Fleurier,Fleurier,Europe,Switzerland,Switzerland,"Fleurier, Switzerland",1938-06-13,Sèvres,Sèvres,Europe,France,France,"Sèvres, France",,,,,,,,,,,Individual,,,"Bureau International des Poids et Mesures (International Bureau of Weights and Measures), Sèvres, France",,,
1925,Peace,The Nobel Peace Prize,2,1/2,118165,3211005,1926-12-10,received,for his crucial role in bringing about the Dawes Plan,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1925,489,Charles G. Dawes,Charles G. Dawes,Charles G.,Dawes,Charles Gates Dawes,,male,http://masterdataapi.nobelprize.org/2/laureate/489,1865-08-27,"Marietta, OH","Marietta, OH",North America,USA,USA,"Marietta, OH, USA",1951-04-23,"Evanston, IL","Evanston, IL",North America,USA,USA,"Evanston, IL, USA",,,,,,,,,,,Individual,USA,,,,,
1917,Physics,The Nobel Prize in Physics,1,1,133823,3920596,1918-11-12,received,for his discovery of the characteristic R&ouml;ntgen radiation of the elements,,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1917,22,Charles Glover Barkla,Charles Glover Barkla,Charles Glover,Barkla,Charles Glover Barkla,,male,http://masterdataapi.nobelprize.org/2/laureate/22,1877-06-07,Widnes,Widnes,Europe,United Kingdom,United Kingdom,"Widnes, United Kingdom",1944-10-23,Edinburgh,Edinburgh,Europe,Scotland,Scotland,"Edinburgh, Scotland",,,,,,,,,,,Individual,,,"Edinburgh University, Edinburgh, United Kingdom",,,
1964,Physics,The Nobel Prize in Physics,1,1/2,273000,2828039,,received,"for fundamental work in the field of quantum electronics, which has led to the construction of oscillators and amplifiers based on the maser-laser principle",,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1964,81,Charles H. Townes,Charles H. Townes,Charles H.,Townes,Charles Hard Townes,,male,http://masterdataapi.nobelprize.org/2/laureate/81,1915-07-28,"Greenville, SC","Greenville, SC",North America,USA,USA,"Greenville, SC, USA",2015-01-27,"Berkeley, CA","Berkeley, CA",North America,USA,USA,"Berkeley, CA, USA",,,,,,,,,,,Individual,,,"Massachusetts Institute of Technology (MIT), Cambridge, MA, USA",,,
1987,Chemistry,The Nobel Prize in Chemistry,3,1/3,2175000,4274764,1987-10-14,received,for their development and use of molecules with structure-specific interactions of high selectivity,,https://masterdataapi.nobelprize.org/2/nobelPrize/che/1987,269,Charles J. Pedersen,Charles J. Pedersen,Charles J.,Pedersen,Charles J. Pedersen,,male,http://masterdataapi.nobelprize.org/2/laureate/269,1904-10-03,Pusan,Pusan,Asia,Korea,South Korea,"Pusan, Korea (now South Korea)",1989-10-26,"Salem, NJ","Salem, NJ",North America,USA,USA,"Salem, NJ, USA",,,,,,,,,,,Individual,,,"Du Pont, Wilmington, DE, USA",,,
2009,Physics,The Nobel Prize in Physics,1,1/2,10000000,10958504,2009-10-06,received,for groundbreaking achievements concerning the transmission of light in fibers for optical communication,,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/2009,838,Charles K. Kao,Charles K. Kao,Charles K.,Kao,Charles Kuen Kao,,male,http://masterdataapi.nobelprize.org/2/laureate/838,1933-11-04,Shanghai,Shanghai,Asia,China,China,"Shanghai, China",2018-09-23,Hong Kong,Hong Kong,,,,"Hong Kong, N/A",,,,,,,,,,,Individual,,,"Standard Telecommunication Laboratories, Harlow, United Kingdom","Chinese University of Hong Kong, Hong Kong, China",,
1928,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1,1,156939,4458494,,received,for his work on typhus,,https://masterdataapi.nobelprize.org/2/nobelPrize/med/1928,318,Charles Nicolle,Charles Nicolle,Charles,Nicolle,Charles Jules Henri Nicolle,,male,http://masterdataapi.nobelprize.org/2/laureate/318,1866-09-21,Rouen,Rouen,Europe,France,France,"Rouen, France",1936-02-28,Tunis,Tunis,Africa,Tunisia,Tunisia,"Tunis, Tunisia",,,,,,,,,,,Individual,,,"Institut Pasteur, Tunis, Tunisia",,,
1913,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1,1,143010,6875481,,received,in recognition of his work on anaphylaxis,,https://masterdataapi.nobelprize.org/2/nobelPrize/med/1913,307,Charles Richet,Charles Richet,Charles,Richet,Charles Robert Richet,,male,http://masterdataapi.nobelprize.org/2/laureate/307,1850-08-26,Paris,Paris,Europe,France,France,"Paris, France",1935-12-04,Paris,Paris,Europe,France,France,"Paris, France",,,,,,,,,,,Individual,,,"Sorbonne University, Paris, France",,,
1957,Physics,The Nobel Prize in Physics,1,1/2,208629,2697789,,received,for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles,,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1957,68,Chen Ning Yang,Chen Ning Yang,Chen Ning,Yang,Chen Ning Yang,,male,http://masterdataapi.nobelprize.org/2/laureate/68,1922-09-22,"Hofei, Anhwei","Hofei, Anhwei",Asia,China,China,"Hofei, Anhwei, China",,,,,,,,,,,,,,,,,,Individual,,,"Institute for Advanced Study, Princeton, NJ, USA",,,
1929,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1,1/2,172760,4907955,,received,for his discovery of the antineuritic vitamin,,https://masterdataapi.nobelprize.org/2/nobelPrize/med/1929,319,Christiaan Eijkman,Christiaan Eijkman,Christiaan,Eijkman,Christiaan Eijkman,,male,http://masterdataapi.nobelprize.org/2/laureate/319,1858-08-11,Nijkerk,Nijkerk,Europe,the Netherlands,the Netherlands,"Nijkerk, the Netherlands",1930-11-05,Utrecht,Utrecht,Europe,the Netherlands,the Netherlands,"Utrecht, the Netherlands",,,,,,,,,,,Individual,,,"Utrecht University, Utrecht, the Netherlands",,,
1972,Chemistry,The Nobel Prize in Chemistry,1,1/2,480000,3345725,,received,"for his work on ribonuclease, especially concerning the connection between the amino acid sequence and the biologically active conformation",,https://masterdataapi.nobelprize.org/2/nobelPrize/che/1972,241,Christian Anfinsen,Christian Anfinsen,Christian,Anfinsen,Christian B. Anfinsen,,male,http://masterdataapi.nobelprize.org/2/laureate/241,1916-03-26,"Monessen, PA","Monessen, PA",North America,USA,USA,"Monessen, PA, USA",1995-05-14,"Randallstown, MD","Randallstown, MD",North America,USA,USA,"Randallstown, MD, USA",,,,,,,,,,,Individual,,,"National Institutes of Health, Bethesda, MD, USA",,,
1974,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,2,1/3,550000,3263449,,received,for their discoveries concerning the structural and functional organization of the cell,,https://masterdataapi.nobelprize.org/2/nobelPrize/med/1974,404,Christian de Duve,Christian de Duve,Christian,de Duve,Christian de Duve,,male,http://masterdataapi.nobelprize.org/2/laureate/404,1917-10-02,Thames Ditton,Thames Ditton,Europe,United Kingdom,United Kingdom,"Thames Ditton, United Kingdom",2013-05-04,Nethen,Nethen,Europe,Belgium,Belgium,"Nethen, Belgium",,,,,,,,,,,Individual,,,"Rockefeller University, New York, NY, USA","Université Catholique de Louvain, Louvain, Belgium",,
1921,Peace,The Nobel Peace Prize,2,1/2,121573,2532771,1921-12-10,received,for their lifelong contributions to the cause of peace and organized internationalism,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1921,486,Christian Lange,Christian Lange,Christian,Lange,Christian Lous Lange,,male,http://masterdataapi.nobelprize.org/2/laureate/486,1869-09-17,Stavanger,Stavanger,Europe,Norway,Norway,"Stavanger, Norway",1938-12-11,Oslo,Oslo,Europe,Norway,Norway,"Oslo, Norway",,,,,,,,,,,Individual,Norway,,,,,
1995,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,2,1/3,7200000,9278351,1995-10-09,received,for their discoveries concerning the genetic control of early embryonic development,,https://masterdataapi.nobelprize.org/2/nobelPrize/med/1995,453,Christiane Nüsslein-Volhard,Christiane Nüsslein-Volhard,Christiane,Nüsslein-Volhard,Christiane Nüsslein-Volhard,,female,http://masterdataapi.nobelprize.org/2/laureate/453,1942-10-20,Magdeburg,Magdeburg,Europe,Germany,Germany,"Magdeburg, Germany",,,,,,,,,,,,,,,,,,Individual,,,"Max-Planck-Institut für Entwicklungsbiologie, Tübingen, Germany",,,
2010,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,3,1/3,10000000,10819388,2010-10-11,received,for their analysis of markets with search frictions,,https://masterdataapi.nobelprize.org/2/nobelPrize/eco/2010,858,Christopher A. Pissarides,Christopher A. Pissarides,Christopher A.,Pissarides,Christopher A. Pissarides,,male,http://masterdataapi.nobelprize.org/2/laureate/858,1948-02-20,Nicosia,Nicosia,Europe,Cyprus,Cyprus,"Nicosia, Cyprus",,,,,,,,,,,,,,,,,,Individual,,,"London School of Economics and Political Science, London, United Kingdom",,,
2011,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,2,1/2,10000000,10545557,2011-10-10,received,for their empirical research on cause and effect in the macroeconomy,,https://masterdataapi.nobelprize.org/2/nobelPrize/eco/2011,873,Christopher A. Sims,Christopher A. Sims,Christopher A.,Sims,Christopher A. Sims,,male,http://masterdataapi.nobelprize.org/2/laureate/873,1942-10-21,"Washington, DC","Washington, DC",North America,USA,USA,"Washington, DC, USA",,,,,,,,,,,,,,,,,,Individual,,,"Princeton University, Princeton, NJ, USA",,,
1997,Physics,The Nobel Prize in Physics,2,1/3,7500000,9572839,1997-10-15,received,for development of methods to cool and trap atoms with laser light,,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1997,153,Claude Cohen-Tannoudji,Claude Cohen-Tannoudji,Claude,Cohen-Tannoudji,Claude Cohen-Tannoudji,,male,http://masterdataapi.nobelprize.org/2/laureate/153,1933-04-01,Constantine,Constantine,Africa,French Algeria,Algeria,"Constantine, French Algeria (now Algeria)",,,,,,,,,,,,,,,,,,Individual,,,"Collège de France, Paris, France","École Normale Supérieure, Paris, France",,
1985,Literature,The Nobel Prize in  Literature,1,1,1800000,3843964,,received,who in his novel combines the poet's and the painter's creativeness with a deepened awareness of time in the depiction of the human condition,,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1985,662,Claude Simon,Claude Simon,Claude,Simon,Claude Simon,,male,http://masterdataapi.nobelprize.org/2/laureate/662,1913-10-10,Tananarive,Antananarivo,Africa,Madagascar,Madagascar,"Tananarive (now Antananarivo), Madagascar",2005-07-06,Paris,Paris,Europe,France,France,"Paris, France",,,,,,,,,,,Individual,France,,,,,
1994,Physics,The Nobel Prize in Physics,2,1/2,7000000,9249471,1994-10-12,received,for the development of the neutron diffraction technique,for pioneering contributions to the development of neutron scattering techniques for studies of condensed matter,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1994,146,Clifford G. Shull,Clifford G. Shull,Clifford G.,Shull,Clifford G. Shull,,male,http://masterdataapi.nobelprize.org/2/laureate/146,1915-09-23,"Pittsburgh, PA","Pittsburgh, PA",North America,USA,USA,"Pittsburgh, PA, USA",2001-03-31,"Medford, MA","Medford, MA",North America,USA,USA,"Medford, MA, USA",,,,,,,,,,,Individual,,,"Massachusetts Institute of Technology (MIT), Cambridge, MA, USA",,,
1937,Physics,The Nobel Prize in Physics,1,1/2,158463,4716161,,received,for their experimental discovery of the diffraction of electrons by crystals,,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1937,44,Clinton Davisson,Clinton Davisson,Clinton,Davisson,Clinton Joseph Davisson,,male,http://masterdataapi.nobelprize.org/2/laureate/44,1881-10-22,"Bloomington, IL","Bloomington, IL",North America,USA,USA,"Bloomington, IL, USA",1958-02-01,"Charlottesville, VA","Charlottesville, VA",North America,USA,USA,"Charlottesville, VA, USA",,,,,,,,,,,Individual,,,"Bell Telephone Laboratories, New York, NY, USA",,,
2003,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,2,1/2,10000000,11807305,2003-10-08,received,for methods of analyzing economic time series with common trends (cointegration),,https://masterdataapi.nobelprize.org/2/nobelPrize/eco/2003,772,Clive W.J. Granger,Clive W.J. Granger,Clive W.J.,Granger,Clive W.J. Granger,,male,http://masterdataapi.nobelprize.org/2/laureate/772,1934-09-04,Swansea,Swansea,Europe,United Kingdom,United Kingdom,"Swansea, United Kingdom",2009-05-27,"San Diego, CA","San Diego, CA",North America,USA,USA,"San Diego, CA, USA",,,,,,,,,,,Individual,,,"University of California, San Diego, CA, USA",,,
1945,Peace,The Nobel Peace Prize,1,1,121333,2499993,1945-11-12,received,for his indefatigable work for international understanding and his pivotal role in establishing the United Nations,,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1945,505,Cordell Hull,Cordell Hull,Cordell,Hull,Cordell Hull,,male,http://masterdataapi.nobelprize.org/2/laureate/505,1871-10-02,"Olympus, TN","Olympus, TN",North America,USA,USA,"Olympus, TN, USA",1955-07-23,"Bethesda, MD","Bethesda, MD",North America,USA,USA,"Bethesda, MD, USA",,,,,,,,,,,Individual,USA,,,,,
1938,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,1,1,155077,4543271,,received,for the discovery of the role played by the sinus and aortic mechanisms in the regulation of respiration,,https://masterdataapi.nobelprize.org/2/nobelPrize/med/1938,333,Corneille Heymans,Corneille Heymans,Corneille,Heymans,Corneille Jean François Heymans,,male,http://masterdataapi.nobelprize.org/2/laureate/333,1892-03-28,Ghent,Ghent,Europe,Belgium,Belgium,"Ghent, Belgium",1968-07-18,Knokke,Knokke,Europe,Belgium,Belgium,"Knokke, Belgium",,,,,,,,,,,Individual,,,"Ghent University, Ghent, Belgium",,,
2006,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,2,1/2,10000000,11552680,2006-10-02,received,for their discovery of RNA interference - gene silencing by double-stranded RNA,,https://masterdataapi.nobelprize.org/2/nobelPrize/med/2006,803,Craig C. Mello,Craig C. Mello,Craig C.,Mello,Craig C. Mello,,male,http://masterdataapi.nobelprize.org/2/laureate/803,1960-10-19,"New Haven, CT","New Haven, CT",North America,USA,USA,"New Haven, CT, USA",,,,,,,,,,,,,,,,,,Individual,,,"University of Massachusetts Medical School, Worcester, MA, USA",,,
1980,Literature,The Nobel Prize in  Literature,1,1,880000,2889667,,received,who with uncompromising clear-sightedness voices man's exposed condition in a world of severe conflicts,,https://masterdataapi.nobelprize.org/2/nobelPrize/lit/1980,657,Czeslaw Milosz,Czeslaw Milosz,Czeslaw,Milosz,Czeslaw Milosz,,male,http://masterdataapi.nobelprize.org/2/laureate/657,1911-06-30,Śeteniai,Śeteniai,Europe,Russian Empire,Lithuania,"Śeteniai, Russian Empire (now Lithuania)",2004-08-14,Kraków,Kraków,Europe,Poland,Poland,"Kraków, Poland",,,,,,,,,,,Individual,Poland,USA,,,,
1976,Physiology or Medicine,The Nobel Prize in Physiology or Medicine,2,1/2,681000,3342605,1976-10-14,received,for their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases,,https://masterdataapi.nobelprize.org/2/nobelPrize/med/1976,410,D. Carleton Gajdusek,D. Carleton Gajdusek,D. Carleton,Gajdusek,D. Carleton Gajdusek,,male,http://masterdataapi.nobelprize.org/2/laureate/410,1923-09-09,"Yonkers, NY","Yonkers, NY",North America,USA,USA,"Yonkers, NY, USA",2008-12-12,Tromsø,Tromsø,Europe,Norway,Norway,"Tromsø, Norway",,,,,,,,,,,Individual,,,"National Institutes of Health, Bethesda, MD, USA",,,
1961,Peace,The Nobel Peace Prize,1,1,250233,2878447,1961-10-23,received,"for developing the UN into an effective and constructive international organization, capable of giving life to the principles and aims expressed in the UN Charter",,https://masterdataapi.nobelprize.org/2/nobelPrize/pea/1961,520,Dag Hammarskjöld,Dag Hammarskjöld,Dag,Hammarskjöld,Dag Hjalmar Agne Carl Hammarskjöld,,male,http://masterdataapi.nobelprize.org/2/laureate/520,1905-07-29,Jönköping,Jönköping,Europe,Sweden,Sweden,"Jönköping, Sweden",1961-09-18,Ndola,Ndola,Africa,Northern Rhodesia,Zambia,"Ndola, Northern Rhodesia (now Zambia)",,,,,,,,,,,Individual,Sweden,,,,,
